obu-ramp-merge-2-1     | [2.5] Ramp_Merge_2 MERGE_DECISION: eta=12.56 dist=104.2 lead=103(eta=8.14 dist=118.3) host=104(eta=16.27 dist=145.4) min_eta=9.64 max_eta=11.57 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-back-1        | [10.8] Ramp_Back CAR_FOLLOW: sid=111 gap=19.8 reason=same_lane_cam follow_spd=4.70 emergency=False
obu-ramp-merge-4-1     | [10.8] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=6.2 desired=10.5 leader_spd=5.78 follow_spd=4.78
obu-ramp-merge-4-1     | [11.0] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=6.9 desired=10.5 leader_spd=5.96 follow_spd=4.96
obu-ramp-merge-2-1     | [2.7] Ramp_Merge_2 MERGE_DECISION: eta=12.91 dist=103.9 lead=103(eta=8.14 dist=117.1) host=104(eta=16.27 dist=143.9) min_eta=9.64 max_eta=11.57 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-2-1     | [2.9] Ramp_Merge_2 MERGE_DECISION: eta=12.88 dist=103.7 lead=103(eta=7.94 dist=115.2) host=104(eta=16.13 dist=141.0) min_eta=9.44 max_eta=11.43 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [11.2] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=7.3 desired=10.5 leader_spd=5.87 follow_spd=4.87
obu-ramp-merge-2-1     | [3.0] Ramp_Merge_2 MERGE_DECISION: eta=12.58 dist=103.5 lead=103(eta=7.94 dist=114.6) host=104(eta=16.13 dist=140.3) min_eta=9.44 max_eta=11.43 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [11.3] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=7.3 desired=10.5 leader_spd=5.87 follow_spd=4.87
obu-ramp-merge-4-1     | [11.6] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=8.0 desired=10.5 leader_spd=6.05 follow_spd=5.05
obu-ramp-merge-4-1     | [11.9] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=8.9 desired=10.5 leader_spd=6.23 follow_spd=5.23
obu-ramp-merge-4-1     | [12.1] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=9.6 desired=10.5 leader_spd=6.05 follow_spd=5.05
obu-ramp-merge-4-1     | [12.3] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=9.6 desired=10.5 leader_spd=6.05 follow_spd=5.05
obu-ramp-merge-4-1     | [12.5] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=10.3 desired=10.5 leader_spd=6.23 follow_spd=5.23
obu-ramp-merge-3-1     | [5.2] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=7.1 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-ramp-merge-2-1     | [3.1] Ramp_Merge_2 MERGE_DECISION: eta=12.57 dist=103.4 lead=103(eta=7.74 dist=113.3) host=104(eta=15.93 dist=138.6) min_eta=9.24 max_eta=11.23 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-3-1     | [5.5] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=8.1 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-ramp-merge-2-1     | [3.2] Ramp_Merge_2 MERGE_DECISION: eta=12.55 dist=103.3 lead=103(eta=7.74 dist=112.7) host=104(eta=15.93 dist=137.9) min_eta=9.24 max_eta=11.23 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-3-1     | [5.7] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=9.8 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-ramp-merge-2-1     | [3.4] Ramp_Merge_2 MERGE_DECISION: eta=12.42 dist=103.1 lead=103(eta=7.44 dist=110.5) host=104(eta=15.79 dist=135.0) min_eta=8.94 max_eta=11.09 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-2-1     | [3.5] Ramp_Merge_2 MERGE_DECISION: eta=12.40 dist=102.9 lead=103(eta=7.23 dist=109.3) host=104(eta=15.79 dist=133.4) min_eta=8.73 max_eta=11.09 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-2-1     | [3.6] Ramp_Merge_2 MERGE_DECISION: eta=12.36 dist=102.6 lead=103(eta=7.23 dist=108.6) host=104(eta=15.69 dist=132.1) min_eta=8.73 max_eta=10.99 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-2-1     | [3.7] Ramp_Merge_2 MERGE_DECISION: eta=12.33 dist=102.3 lead=103(eta=7.13 dist=107.6) host=104(eta=15.69 dist=131.3) min_eta=8.63 max_eta=10.99 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
